soft_skill_id,student_id,communication,teamwork,presentation,leadership,critical_thinking,interpersonal_skills
1,1,52,68,60,40,76,47
2,2,67,79,86,76,65,76
3,3,90,95,93,82,87,69
4,4,72,78,71,72,54,50
5,5,69,50,49,81,85,73
6,6,98,41,57,78,82,87
7,7,75,75,96,49,52,80
8,8,72,42,41,64,44,91
9,9,74,62,42,82,47,99
10,10,52,43,50,71,96,83
11,11,48,47,73,72,53,96
12,12,57,99,95,89,46,89
13,13,60,99,91,76,58,50
14,14,61,87,44,86,58,72
15,15,71,99,66,60,73,57
16,16,79,77,85,74,43,80
17,17,100,65,92,89,45,84
18,18,53,82,90,67,67,55
19,19,85,68,80,72,95,83
20,20,59,72,89,79,42,67
21,21,77,81,50,40,67,52
22,22,45,54,99,92,83,67
23,23,56,70,41,83,49,79
24,24,69,88,69,49,44,96
25,25,67,48,42,90,61,44
26,26,71,76,85,88,69,68
27,27,45,83,84,52,94,55
28,28,71,93,89,60,96,95
29,29,44,78,90,97,90,65
30,30,52,40,82,88,62,93
31,31,72,41,76,77,97,69
32,32,80,52,48,97,61,95
33,33,94,97,61,75,49,44
34,34,98,99,47,56,53,70
35,35,58,55,86,53,40,97
36,36,49,40,61,55,51,82
37,37,81,84,77,95,40,63
38,38,100,55,71,60,68,87
39,39,50,73,97,89,98,45
40,40,54,94,66,78,87,78
41,41,52,78,41,55,41,46
42,42,98,84,79,55,100,72
43,43,73,78,47,85,82,44
44,44,77,73,84,63,71,77
45,45,67,49,86,43,40,51
46,46,59,73,83,57,81,93
47,47,45,97,83,78,66,95
48,48,88,69,95,50,56,53
49,49,84,46,99,62,41,52
50,50,57,62,82,92,68,49
51,51,60,97,87,57,99,58
52,52,54,72,81,87,68,77
53,53,42,54,41,93,89,47
54,54,57,69,98,59,57,100
55,55,71,43,57,59,51,47
56,56,85,88,51,52,96,84
57,57,65,73,45,91,91,40
58,58,85,56,88,60,78,63
59,59,54,87,74,65,83,87
60,60,58,53,99,66,78,87
61,61,88,50,67,90,69,71
62,62,68,40,53,67,74,73
63,63,68,68,40,59,89,93
64,64,40,44,47,46,97,73
65,65,62,51,84,41,75,59
66,66,47,52,45,70,64,65
67,67,57,95,88,59,67,50
68,68,59,66,59,43,92,98
69,69,95,64,75,77,98,58
70,70,98,57,77,56,45,46
71,71,93,54,90,78,64,98
72,72,71,62,69,100,53,87
73,73,62,93,51,71,85,67
74,74,73,62,56,97,57,67
75,75,89,66,53,88,58,74
76,76,100,86,86,53,79,66
77,77,92,69,100,91,93,84
78,78,68,45,85,84,64,63
79,79,91,74,67,81,88,94
80,80,64,52,56,57,64,57
81,81,55,48,61,57,87,54
82,82,87,45,58,61,84,94
83,83,42,44,97,94,66,64
84,84,55,41,41,56,84,89
85,85,41,96,99,70,62,55
86,86,82,89,43,42,55,42
87,87,86,66,91,47,73,77
88,88,94,57,48,61,59,48
89,89,77,49,45,88,56,86
90,90,43,99,58,61,44,60
91,91,91,83,74,42,84,59
92,92,46,43,79,97,40,88
93,93,45,85,69,92,69,86
94,94,54,79,66,43,48,54
95,95,52,46,97,93,60,52
96,96,44,43,93,40,53,88
97,97,59,71,68,90,59,94
98,98,48,48,67,100,77,47
99,99,47,55,48,93,45,52
100,100,84,90,70,89,64,91
101,101,70,55,56,52,78,56
102,102,96,94,63,54,97,67
103,103,55,97,63,64,85,86
104,104,99,100,42,98,85,83
105,105,63,61,88,82,68,47
106,106,68,63,92,85,45,84
107,107,65,100,93,99,96,86
108,108,92,95,63,59,46,88
109,109,84,71,82,41,51,97
110,110,46,45,46,45,47,57
111,111,81,75,50,97,65,76
112,112,64,56,53,67,58,70
113,113,91,91,51,49,93,56
114,114,85,92,87,70,98,98
115,115,65,51,91,90,91,94
116,116,62,64,91,60,97,72
117,117,77,96,91,45,43,93
118,118,81,75,46,89,88,66
119,119,71,72,62,47,70,84
120,120,80,43,84,97,54,53
121,121,66,95,61,59,61,67
122,122,48,87,82,66,98,98
123,123,93,93,62,90,40,61
124,124,45,50,93,43,47,46
125,125,64,45,99,66,59,72
126,126,49,92,66,74,75,61
127,127,91,50,65,95,62,87
128,128,92,82,57,66,71,98
129,129,62,61,72,61,45,86
130,130,100,83,61,62,93,78
131,131,80,83,51,43,43,40
132,132,52,90,77,40,98,81
133,133,69,74,55,47,97,79
134,134,52,52,55,81,54,71
135,135,69,72,70,65,59,84
136,136,45,70,91,57,90,43
137,137,49,70,92,72,52,94
138,138,50,70,94,62,92,95
139,139,72,49,63,44,40,94
140,140,100,79,63,51,80,94
141,141,59,47,84,98,51,53
142,142,57,42,52,64,46,54
143,143,41,52,68,58,40,99
144,144,90,79,63,50,68,50
145,145,58,85,53,89,92,96
146,146,94,95,99,81,42,60
147,147,90,58,51,71,99,90
148,148,70,86,61,93,52,67
149,149,88,68,70,97,62,98
150,150,45,68,70,93,45,46
